ID,ISP,Philippines,Service,Server ID,Server name,Download,Upload,Ping,Packet loss,Download jitter,Upload jitter,Ping jitter,Upload latency high,Upload latency low,Upload latency avg,Download latency high,Download latency low,Download latency avg,Created at
38,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613428896,653970992,1.781,0,0.751,70.901,0.193,411.629,7.471,183.852,30.929,1.375,1.971,19/06/2024 7:00
39,PLDT Fibre,Manila,ookla,7415,Smart Communications,616790184,662491888,1.437,0,0.604,76.694,0.157,432.091,3.032,168.441,16.586,1.375,1.89,19/06/2024 7:15
40,PLDT Fibre,Manila,ookla,7167,PLDT,615473416,711435176,1.517,,2.447,7.548,0.155,256.573,3.267,14.771,202.627,1.026,1.572,19/06/2024 7:30
41,PLDT Fibre,Manila,ookla,7415,Smart Communications,623328784,717799224,1.577,0,0.408,45.357,0.185,247.173,2.709,96.078,15.516,1.253,1.74,19/06/2024 7:45
42,PLDT Fibre,Manila,ookla,7167,PLDT,627184568,854172904,1.148,,7.489,12.592,0.175,250.913,1.561,14.705,219.294,0.956,1.552,19/06/2024 8:00
43,PLDT Fibre,Quezon City,ookla,7131,PLDT,624747728,913248256,0.993,,0.278,6.381,0.122,52.148,0.932,7.299,6.006,0.788,1.178,19/06/2024 8:15
44,PLDT Fibre,Quezon City,ookla,7131,PLDT,624790792,845682896,0.951,,0.931,3.352,0.15,67.677,1.589,5.476,61.045,0.789,1.399,19/06/2024 8:30
45,PLDT Fibre,Manila,ookla,7415,Smart Communications,619191424,637283840,1.492,0,0.505,10.766,0.151,64.378,3.029,35.568,22.683,1.226,1.817,19/06/2024 8:45
46,PLDT Fibre,Pasig,ookla,7123,PLDT,622511416,793225784,1.474,,0.499,3.742,0.199,24.314,3.68,13.187,14.945,1.19,1.693,19/06/2024 9:00
47,PLDT Fibre,Quezon City,ookla,7131,PLDT,626636768,831853440,1.005,,0.429,1.011,0.056,10.036,0.818,1.634,17.786,0.935,1.368,19/06/2024 9:15
48,PLDT Fibre,Manila,ookla,7415,Smart Communications,618541400,591438560,1.497,0,0.548,21.542,0.217,209.846,1.758,18.781,14.909,1.317,1.775,19/06/2024 9:30
49,PLDT Fibre,Quezon City,ookla,7131,PLDT,613162056,841664952,0.965,,4.206,5.39,0.124,20.995,1.499,5.857,230.13,0.827,1.311,19/06/2024 9:45
50,PLDT Fibre,Manila,ookla,7415,Smart Communications,612688864,847393352,1.49,0,3.575,47.162,0.228,474.547,4.464,164.784,208.558,1.152,1.969,19/06/2024 10:00
51,PLDT Fibre,Quezon City,ookla,7131,PLDT,625528360,856353296,0.988,,0.49,1.809,0.073,10.153,1.064,2.143,23.712,0.737,1.201,19/06/2024 10:15
52,PLDT Fibre,Manila,ookla,7415,Smart Communications,613258544,637205928,1.531,0,0.334,75.308,0.112,904.784,3.122,233.02,3.881,1.193,1.688,19/06/2024 10:30
53,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",619535424,935965048,1.768,0,0.531,1.187,0.318,32.297,1.606,2.273,22.483,1.408,1.908,19/06/2024 10:45
54,PLDT Fibre,Manila,ookla,7167,PLDT,612770512,613401168,1.079,,0.732,14.294,0.313,417.061,1.011,1.971,19.77,0.984,1.76,19/06/2024 11:00
55,PLDT Fibre,Manila,ookla,7415,Smart Communications,614046536,827460432,1.505,0,0.482,4.175,0.13,22.88,2.183,18.543,9.578,1.227,1.768,19/06/2024 11:15
56,PLDT Fibre,Manila,ookla,7167,PLDT,612276088,872684416,0.996,,0.498,5.417,0.109,30.516,1.153,13.355,16.912,1.017,1.502,19/06/2024 11:30
57,PLDT Fibre,Pasig,ookla,7123,PLDT,626029624,772243016,1.478,,2.662,0.763,0.137,13.869,4.466,10.765,236.545,1.176,1.627,19/06/2024 11:45
58,PLDT Fibre,Manila,ookla,7415,Smart Communications,622943120,794959864,1.443,0,2.524,2.752,0.069,20.425,1.596,9.645,207.592,1.215,2.087,19/06/2024 12:00
59,PLDT Fibre,Pasig,ookla,7123,PLDT,613015824,820213376,1.439,,4.476,47.14,0.156,662.621,3.876,131.182,204.957,1.083,1.649,19/06/2024 12:15
60,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613320456,659240664,1.658,0,0.418,8.123,0.168,45.804,1.684,38.388,18.351,1.499,1.969,19/06/2024 12:30
61,PLDT Fibre,Manila,ookla,7415,Smart Communications,612781352,914070648,1.424,0,0.469,0.853,0.268,6.769,1.24,1.839,15.299,1.197,1.705,19/06/2024 12:45
62,PLDT Fibre,Pasig,ookla,7123,PLDT,624480608,866953448,1.567,,2.235,1.559,0.167,8.961,1.476,2.874,203.059,1.114,1.651,19/06/2024 13:00
63,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613150472,602933472,1.687,0,0.407,28.974,0.339,304.312,1.815,32.786,16.007,1.439,1.919,19/06/2024 13:15
64,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613052640,920845320,1.826,0,3.142,2.336,0.211,23.03,1.649,10.248,216.828,1.48,1.917,19/06/2024 13:30
65,PLDT Fibre,Manila,ookla,7167,PLDT,613600856,847560992,0.991,,2.48,3.849,0.057,38.646,3.879,13.56,212.774,1.043,1.503,19/06/2024 13:45
66,PLDT Fibre,Manila,ookla,7167,PLDT,602477040,805740400,1.35,,3.83,2.533,0.331,37.345,2.402,12.181,202.847,1.036,1.873,19/06/2024 14:00
67,PLDT Fibre,Manila,ookla,7167,PLDT,626260992,918212680,1.176,,0.57,0.889,0.156,14.071,1.158,1.882,37.203,1.101,1.505,19/06/2024 14:15
68,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",424996168,565352688,1.479,0,0.792,86.649,0.222,1193.801,7.822,578.185,14.731,1.399,1.841,19/06/2024 14:30
69,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",622198592,661837816,1.945,0,1.088,6.449,0.402,88.784,1.737,4.421,83.057,1.436,2.064,19/06/2024 14:45
70,PLDT Fibre,Manila,ookla,7415,Smart Communications,603273736,644536384,1.526,0,0.594,0.413,0.06,8.895,1.352,1.702,21.052,1.228,1.784,19/06/2024 15:00
71,PLDT Fibre,Manila,ookla,7167,PLDT,556344936,893834904,1.095,,0.592,2.51,0.151,19.281,1.201,4.971,22.517,1.105,1.647,19/06/2024 15:15
72,PLDT Fibre,Quezon City,ookla,7131,PLDT,622619696,694536328,1.435,,7.468,2.256,0.165,16.172,1.487,10.578,212.195,0.761,1.193,19/06/2024 15:30
73,PLDT Fibre,Pasig,ookla,7123,PLDT,613433400,613294624,1.486,,2.444,0.508,0.102,9.927,1.072,1.538,213.026,1.249,1.629,19/06/2024 15:45
74,PLDT Fibre,Quezon City,ookla,7131,PLDT,626431360,842526480,0.976,,2.256,1.08,0.105,13.045,0.92,1.594,203.539,0.768,1.199,19/06/2024 16:00
75,PLDT Fibre,Manila,ookla,7167,PLDT,626957384,613608416,0.975,,4.439,0.67,0.091,15.261,0.914,1.357,224.359,0.96,1.568,19/06/2024 16:15
76,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",609251232,653280608,1.959,0,2.797,22.566,0.232,350.365,1.835,17.445,206.864,1.409,2.017,19/06/2024 16:30
77,PLDT Fibre,Quezon City,ookla,7131,PLDT,481202408,808894448,0.997,,3.334,20.583,0.066,270.686,0.953,17.531,205.55,0.839,1.423,19/06/2024 16:45
78,PLDT Fibre,Manila,ookla,7167,PLDT,612435272,888963960,1.192,,0.508,2.082,0.268,11.37,1.289,5.51,18.587,1.065,1.543,19/06/2024 17:00
79,PLDT Fibre,Quezon City,ookla,7131,PLDT,619236864,646329216,1.009,,2.358,43.795,0.229,263.011,3.326,117.98,202.458,0.955,1.493,19/06/2024 17:15
80,PLDT Fibre,Quezon City,ookla,7131,PLDT,619409104,892419104,0.965,,10.746,2.38,0.078,12.922,1.12,2.761,216.74,0.929,1.504,19/06/2024 17:30
81,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",613213816,661125736,2.104,0,0.751,46.02,0.117,906.665,2.448,50.75,27.685,1.342,1.948,19/06/2024 17:45
82,PLDT Fibre,Pasig,ookla,7123,PLDT,618679912,846843720,1.496,,0.847,7.882,0.151,110.888,1.529,48.593,25.387,1.243,1.785,19/06/2024 18:00
83,PLDT Fibre,Manila,ookla,7167,PLDT,539986832,433122448,1.18,,2.844,78.365,0.1,3062.791,1.049,715.647,204.222,0.976,1.456,19/06/2024 18:15
84,PLDT Fibre,Manila,ookla,7167,PLDT,625765480,671624160,1.471,,2.153,22.07,0.236,363.777,6.922,64.782,203.474,1.01,1.589,19/06/2024 18:30
85,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",614600624,630750424,1.74,0,1.286,0.551,0.106,12.903,1.571,1.923,21.127,1.408,2.002,19/06/2024 18:45
86,PLDT Fibre,Manila,ookla,7415,Smart Communications,622898272,862841184,1.538,0,0.758,35.918,0.233,228.59,3.021,120.854,34.744,1.279,1.906,19/06/2024 19:00
87,PLDT Fibre,Quezon City,ookla,7131,PLDT,621022048,510008992,0.993,,0.62,87.087,0.138,3270.898,0.792,1480.786,36.351,0.91,1.439,19/06/2024 19:15
88,PLDT Fibre,Quezon City,ookla,7131,PLDT,612338592,912204856,0.974,,0.433,11.624,0.296,57.471,1.722,17.532,14.556,0.942,1.379,19/06/2024 20:30
89,PLDT Fibre,Manila,ookla,7167,PLDT,477852632,732193576,1.094,,0.432,9.723,0.282,275.103,1.681,12.791,4.562,1.004,1.397,19/06/2024 20:45
90,PLDT Fibre,Manila,ookla,7167,PLDT,621623304,865424984,0.956,,2.072,2.01,0.05,14.949,1.474,8.78,202.935,1.013,1.507,19/06/2024 21:00
91,PLDT Fibre,Manila,ookla,7415,Smart Communications,627498232,653141280,1.515,0,1.926,21.282,0.359,129.231,1.469,15.658,208.093,1.199,1.659,19/06/2024 21:15
92,PLDT Fibre,Quezon City,ookla,7131,PLDT,628490832,904487120,0.926,,1.93,7.562,0.07,84.686,4.538,37.175,202.919,0.951,1.491,19/06/2024 21:30
93,PLDT Fibre,Quezon City,ookla,7131,PLDT,611481728,715283544,1.104,,3.104,0.763,0.457,9.846,0.956,1.707,203.268,0.794,1.324,19/06/2024 21:45
94,PLDT Fibre,Pasig,ookla,7123,PLDT,615041192,475708696,1.462,,0.542,64.451,0.274,959.883,3.731,288.093,19.151,1.169,1.732,19/06/2024 22:00
95,PLDT Fibre,Pasig,ookla,7123,PLDT,597991376,665312216,1.469,,1.054,2.836,0.142,42.616,3.508,18.672,45.703,1.195,2,19/06/2024 22:15
96,PLDT Fibre,Quezon City,ookla,7131,PLDT,622789016,902372008,1.275,,0.275,4.339,0.111,40.443,1.998,13.656,2.702,0.81,1.254,19/06/2024 22:30
97,PLDT Fibre,Pasig,ookla,7123,PLDT,615751960,883897456,1.417,,2.379,15.256,0.057,131.735,2.439,45.621,215.994,1.199,1.811,19/06/2024 22:45
98,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",614047096,642128336,1.599,0,0.735,0.288,0.156,12.83,1.483,1.836,19.421,1.472,2.001,19/06/2024 23:00
99,PLDT Fibre,Manila,ookla,7415,Smart Communications,613651832,658052832,1.369,0,0.968,2.089,0.362,27.884,2.844,9.162,24.778,1.26,1.985,19/06/2024 23:15
100,PLDT Fibre,Manila,ookla,7415,Smart Communications,612997464,658749896,1.423,0,0.437,6.776,0.223,94.86,2.747,42.03,14.443,1.123,1.697,19/06/2024 23:30
101,PLDT Fibre,Pasig,ookla,7123,PLDT,613625312,617302136,1.243,,0.431,62.851,0.204,527.7,1.232,149.622,14.36,1.263,1.707,19/06/2024 23:45
102,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",611923736,613094624,1.878,0,0.437,34.351,0.18,432.025,9.757,63.335,16.308,1.494,1.932,20/06/2024 0:00
103,PLDT Fibre,Pasig,ookla,7123,PLDT,618684008,830235520,1.453,,2.375,2.281,0.068,63.032,1.624,3.269,202.807,1.154,1.734,20/06/2024 0:15
104,PLDT Fibre,Manila,ookla,7167,PLDT,608873152,853209192,1.435,,2.159,4.991,0.134,49.404,4.375,13.186,14.572,0.98,1.94,20/06/2024 0:30
105,PLDT Fibre,Manila,ookla,7415,Smart Communications,576394656,680888472,1.38,0,2.17,58.792,0.219,363.859,6.94,170.226,207.299,1.265,1.674,20/06/2024 0:45
106,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",620417600,608917632,1.815,0,7.457,14.99,0.213,518.885,1.441,32.417,416.088,1.373,2.042,20/06/2024 1:00
107,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",618662072,664020672,1.778,0,0.298,99.118,0.085,2302.635,11.586,1048.077,5.622,1.416,1.883,20/06/2024 1:15
108,PLDT Fibre,Makati,ookla,7205,"SMART Communications, Inc.",617405176,654284368,1.842,0,4.318,17.633,0.133,142.79,7.997,78.11,209.941,1.433,1.994,20/06/2024 1:30
109,PLDT Fibre,Manila,ookla,7415,Smart Communications,613123920,866149600,1.454,0,0.922,1.083,0.197,12.221,1.225,1.894,39.794,1.269,1.802,20/06/2024 1:45
110,PLDT Fibre,Manila,ookla,7167,PLDT,621271768,857178096,1.005,,9.112,12.73,0.176,147.345,1.811,32.033,253.552,0.897,6.607,20/06/2024 2:00
111,PLDT Fibre,Manila,ookla,7415,Smart Communications,614091824,669145760,1.495,0,0.79,22.158,0.205,550.496,1.521,11.285,20.916,1.163,1.691,20/06/2024 2:15
112,PLDT Fibre,Manila,ookla,7415,Smart Communications,624182760,798341384,1.483,0,2.475,40.104,0.271,342.873,1.761,117.898,207.043,1.134,1.837,20/06/2024 2:30
113,PLDT Fibre,Quezon City,ookla,7131,PLDT,613088768,523413728,0.942,,0.595,2.016,0.058,24.16,1.026,2.592,21.192,0.928,1.452,20/06/2024 2:45
